"Marca temporal","¿En qué área de la salud trabajas?","¿Qué edad tienes?","¿Cuántos años de experiencia tienes en el tratamiento de enfermedades mentales?","¿Consideras que un sistema de predicción de enfermedades mentales puede ser útil en tu práctica profesional?","¿En alguna ocasión ha usado un sistema de predicción de enfermedades mentales?","¿En qué medida crees que un sistema de predicción de enfermedades mentales puede mejorar la detección temprana de enfermedades mentales en los pacientes?","¿Consideras que la implementación de un sistema de predicción de enfermedades mentales puede mejorar el pronóstico de los pacientes?","¿Consideras que la implementación de un sistema de predicción de enfermedades mentales puede reducir el estigma asociado a las enfermedades mentales?","¿Consideras que la implementación de un sistema de predicción de enfermedades mentales puede ser coste-efectiva?","¿Cuáles son los principales beneficios que ves en la implementación de un sistema de predicción de enfermedades mentales en la práctica profesional? (Selección múltiple)","¿Qué tipo de información considera importante que se incluya en un sistema de predicción de enfermedades mentales? (Selección múltiple)","¿Cuáles son sus preocupaciones sobre el uso de sistemas de predicción de enfermedades mentales en la práctica clínica? (Selección múltiple)","¿Estaría dispuesto a utilizar un sistema de predicción de enfermedades mentales en su práctica clínica?","¿Hay algún comentario adicional que le gustaría hacer sobre los sistemas de predicción de enfermedades mentales en la salud mental?"
"2023/05/13 12:55:27 p. m. EEST","Psicologia","23","3","Si","No","En gran medida","Si","Si","Si","Mayor deteccion temprana de enfermedades mentales;Mejor pronostico de los pacientes;Reducción del estigma asociado a la enfermedades mentales;Mayor eficiencia en el tratamiento de los pacientes","Datos de historial clinico del paciente;Factores de riesgo biologicos (por ejemplo, antecedentes familiares, genetica);Factores de riesgo ambientales (por ejemplo, estrés laboral, eventos traumaticos);Informacion de seguimiento de salud mental (por ejemplo, medicación, terapia)","Fallos o errores en el sistema;En riesgo de sesgo o discriminacion en el sistema","Sí",""
"2023/05/13 3:17:45 p. m. EEST","Psicologia","27","2","No estoy seguro","No","En cierta medida","No estoy seguro","Si","No estoy seguro","Mayor deteccion temprana de enfermedades mentales;Reducción del estigma asociado a la enfermedades mentales","Datos de historial clínico del paciente;Factores de riesgo biológicos (por ejemplo, antecedentes familiares, genética);Factores de riesgo ambientales (por ejemplo, estrés laboral, eventos traumáticos);Información de seguimiento de salud mental (por ejemplo, medicación, terapia)","En riesgo de sesgo o discriminación en el sistema;Riesgo de etiquetado y de construcción de la identidad del paciente desde la posible enfermedad mental","Tal vez",""
"2023/05/13 6:56:22 p. m. EEST","Psicologia","28","2 años ","Si","No","En gran medida","Si","No estoy seguro","Si","Mayor deteccion temprana de enfermedades mentales;Mejor pronostico de los pacientes;Mayor eficiencia en el tratamiento de los pacientes","Datos de historial clínico del paciente;Factores de riesgo biológicos (por ejemplo, antecedentes familiares, genética);Factores de riesgo ambientales (por ejemplo, estrés laboral, eventos traumáticos);Información de seguimiento de salud mental (por ejemplo, medicación, terapia)","No tengo preocupaciones","Sí",""
"2023/05/14 12:58:40 a. m. EEST","Psicologia","24","1","No estoy seguro","No","En cierta medida","Si","Si","No estoy seguro","Mayor deteccion temprana de enfermedades mentales;Mayor eficiencia en el tratamiento de los pacientes","Datos de historial clínico del paciente;Factores de riesgo biológicos (por ejemplo, antecedentes familiares, genética);Factores de riesgo ambientales (por ejemplo, estrés laboral, eventos traumáticos);Información de seguimiento de salud mental (por ejemplo, medicación, terapia)","Fallos o errores en el sistema;En riesgo de sesgo o discriminación en el sistema;Preocupaciones éticas sobre el uso de sistemas de predicción","Tal vez",""
"2023/05/15 4:41:37 p. m. EEST","Psiquiatria","23","Ninguno","Si","No","En gran medida","Si","No estoy seguro","Si","Mayor deteccion temprana de enfermedades mentales;Mejor pronostico de los pacientes;Mayor eficiencia en el tratamiento de los pacientes","Datos de historial clínico del paciente;Factores de riesgo biológicos (por ejemplo, antecedentes familiares, genética);Factores de riesgo ambientales (por ejemplo, estrés laboral, eventos traumáticos);Información de seguimiento de salud mental (por ejemplo, medicación, terapia)","En riesgo de sesgo o discriminación en el sistema","Sí",""
"2023/05/15 4:48:51 p. m. EEST","Psiquiatria","25","2","No estoy seguro","No","En cierta medida","Si","No","Si","Mayor deteccion temprana de enfermedades mentales;Mejor pronostico de los pacientes","Datos de historial clínico del paciente;Factores de riesgo biológicos (por ejemplo, antecedentes familiares, genética);Factores de riesgo ambientales (por ejemplo, estrés laboral, eventos traumáticos);Información de seguimiento de salud mental (por ejemplo, medicación, terapia)","Fallos o errores en el sistema;En riesgo de sesgo o discriminación en el sistema","Sí",""
"2023/05/15 5:11:37 p. m. EEST","Medicina general","24","2","No estoy seguro","No","En cierta medida","Si","No","Si","Mayor deteccion temprana de enfermedades mentales","Datos de historial clínico del paciente;Factores de riesgo biológicos (por ejemplo, antecedentes familiares, genética);Factores de riesgo ambientales (por ejemplo, estrés laboral, eventos traumáticos);Información de seguimiento de salud mental (por ejemplo, medicación, terapia)","Fallos o errores en el sistema;En riesgo de sesgo o discriminación en el sistema","Tal vez","La sintomatología de las enfermedades mentales es muy ambigua entre unas y otras y, por ende, la predicción de las mismas."
"2023/05/15 5:33:25 p. m. EEST","Enfermería ","24","0","Si","No","En cierta medida","Si","Si","Si","Mayor deteccion temprana de enfermedades mentales;Mejor pronostico de los pacientes;Mayor eficiencia en el tratamiento de los pacientes","Datos de historial clínico del paciente;Factores de riesgo ambientales (por ejemplo, estrés laboral, eventos traumáticos);Información de seguimiento de salud mental (por ejemplo, medicación, terapia)","El uso de datos sensibles o privados de los pacientes","Sí",""
"2023/05/18 4:00:46 p. m. EEST","Psicologia","49","7","No estoy seguro","No","En cierta medida","No estoy seguro","Si","No estoy seguro","Mayor deteccion temprana de enfermedades mentales;Mejor pronostico de los pacientes;Reducción del estigma asociado a la enfermedades mentales","Datos de historial clínico del paciente;Factores de riesgo biológicos (por ejemplo, antecedentes familiares, genética);Factores de riesgo ambientales (por ejemplo, estrés laboral, eventos traumáticos);Información de seguimiento de salud mental (por ejemplo, medicación, terapia)","En riesgo de sesgo o discriminación en el sistema","Sí",""
"2023/05/18 4:15:35 p. m. EEST","Psicologia","27","5","No estoy seguro","No","En cierta medida","No estoy seguro","No","No estoy seguro","Mayor deteccion temprana de enfermedades mentales;Mayor eficiencia en el tratamiento de los pacientes","Datos de historial clínico del paciente;Factores de riesgo biológicos (por ejemplo, antecedentes familiares, genética);Factores de riesgo ambientales (por ejemplo, estrés laboral, eventos traumáticos);Información de seguimiento de salud mental (por ejemplo, medicación, terapia)","El uso de datos sensibles o privados de los pacientes;En riesgo de sesgo o discriminación en el sistema;Preocupaciones éticas sobre el uso de sistemas de predicción","Tal vez",""
